full_team_name,team_name,real_team_name,league_id,league_name,team_id,division_id,division_name,division_full_name,conference_id,conference_name,conference_full_name,league,team_league_id,city_name,state_name,country,stadium_id,logo_filename
Buffalo_Bills,buffalo_bills,Buffalo Bills,4,nfl,1021,119,East, AFC East,109,AFC, American Football Conference,NFL,101,buffalo,ny,us,162,buffalo_bills_logo.png
Miami_Dolphins,miami_dolphins,Miami Dolphins,4,nfl,1089,119,East, AFC East,109,AFC, American Football Conference,NFL,102,miami,fl,us,161,miami_dolphins_logo.png
New_England_Patriots,new_england_patriots,New England Patriots,4,nfl,1103,119,East, AFC East,109,AFC, American Football Conference,NFL,103,foxborough,ma,us,156,new_england_patriots_logo.png
New_York_Jets,new_york_jets,New York Jets,4,nfl,1111,119,East, AFC East,109,AFC, American Football Conference,NFL,104,new_york,ny,us,183,new_york_jets_logo.png
Baltimore_Ravens,baltimore_ravens,Baltimore Ravens,4,nfl,1016,120,North, AFC North,109,AFC, American Football Conference,NFL,105,baltimore,md,us,180,baltimore_ravens_logo.png
Cincinnati_Bengals,cincinnati_bengals,Cincinnati Bengals,4,nfl,1036,120,North, AFC North,109,AFC, American Football Conference,NFL,106,cincinnati,oh,us,195,cincinnati_bengals_logo.png
Cleveland_Browns,cleveland_browns,Cleveland Browns,4,nfl,1038,120,North, AFC North,109,AFC, American Football Conference,NFL,107,cleveland,oh,us,164,cleveland_browns_logo.png
Pittsburgh_Steelers,pittsburgh_steelers,Pittsburgh Steelers,4,nfl,1132,120,North, AFC North,109,AFC, American Football Conference,NFL,108,pittsburgh,pa,us,101,pittsburgh_steelers_logo.png
Houston_Texans,houston_texans,Houston Texans,4,nfl,1068,121,South, AFC South,109,AFC, American Football Conference,NFL,109,houston,tx,us,191,houston_texans_logo.png
Indianapolis_Colts,indianapolis_colts,Indianapolis Colts,4,nfl,1071,121,South, AFC South,109,AFC, American Football Conference,NFL,110,indianapolis,in,us,178,indianapolis_colts_logo.png
Jacksonville_Jaguars,jacksonville_jaguars,Jacksonville Jaguars,4,nfl,1073,121,South, AFC South,109,AFC, American Football Conference,NFL,111,jacksonville,fl,us,146,jacksonville_jaguars_logo.png
Tennessee_Titans,tennessee_titans,Tennessee Titans,4,nfl,1156,121,South, AFC South,109,AFC, American Football Conference,NFL,112,nashville,tn,us,189,tennessee_titans_logo.png
Denver_Broncos,denver_broncos,Denver Broncos,4,nfl,1052,122,West, AFC West,109,AFC, American Football Conference,NFL,113,denver,co,us,143,denver_broncos_logo.png
Kansas_City_Chiefs,kansas_city_chiefs,Kansas City Chiefs,4,nfl,1074,122,West, AFC West,109,AFC, American Football Conference,NFL,114,kansas_city,mo,us,109,kansas_city_chiefs_logo.png
Las_Vegas_Raiders,las_vegas_raiders,Las Vegas Raiders,4,nfl,1079,122,West, AFC West,109,AFC, American Football Conference,NFL,115,las_vegas,nv,us,102,las_vegas_raiders_logo.png
Los_Angeles_Chargers,los_angeles_chargers,Los Angeles Chargers,4,nfl,1081,122,West, AFC West,109,AFC, American Football Conference,NFL,116,los_angeles,ca,us,218,los_angeles_chargers_logo.png
Dallas_Cowboys,dallas_cowboys,Dallas Cowboys,4,nfl,1048,123,East, NFC East,110,NFC, National Football Conference,NFL,117,dallas,tx,,110,dallas_cowboys_logo.png
New_York_Giants,new_york_giants,New York Giants,4,nfl,1109,123,East, NFC East,110,NFC, National Football Conference,NFL,118,new_york,ny,us,183,new_york_giants_logo.png
Philadelphia_Eagles,philadelphia_eagles,Philadelphia Eagles,4,nfl,1124,123,East, NFC East,110,NFC, National Football Conference,NFL,119,philadelphia,pa,us,174,philadelphia_eagles_logo.png
Washington_Commanders,washington_commanders,Washington Commanders,4,nfl,1168,123,East, NFC East,110,NFC, National Football Conference,NFL,120,washington,dc,us,190,washington_commanders_logo.png
Chicago_Bears,chicago_bears,Chicago Bears,4,nfl,1029,124,North, NFC North,110,NFC, National Football Conference,NFL,121,chicago,il,us,219,chicago_bears_logo.png
Detroit_Lions,detroit_lions,Detroit Lions,4,nfl,1054,124,North, NFC North,110,NFC, National Football Conference,NFL,122,detroit,mi,us,150,detroit_lions_logo.png
Green_Bay_Packers,green_bay_packers,Green Bay Packers,4,nfl,1064,124,North, NFC North,110,NFC, National Football Conference,NFL,123,green_bay,wi,us,171,green_bay_packers_logo.png
